word,katakana,part_of_speech,conjugation_type,conjugated_form_example
起きる,オキル,動詞-一般,上一段-カ行,終止形-一般
駅,エキ,名詞-普通名詞-一般,0,0
週間,シュウカン,接尾辞-名詞的-助数詞,0,0
頼む,タノム,動詞-一般,五段-マ行,連用形-撥音便
はい,ハイ,感動詞-一般,0,0
兄,アニ,名詞-普通名詞-一般,0,0
がる,ガル,接尾辞-動詞的,五段-ラ行-一般,連用形-一般
明日,アス,名詞-普通名詞-副詞可能,0,0
番,バン,接尾辞-名詞的-助数詞,0,0
押す,オス,動詞-一般,五段-サ行,連体形-一般
辛い,ツライ,形容詞-一般,形容詞,終止形-一般
楽しい,タノシイ,形容詞-一般,形容詞,連用形-一般
かわいい,カワイイ,形容詞-一般,形容詞,連体形-一般
低い,ヒクイ,形容詞-一般,形容詞,連体形-一般
横,ヨコ,名詞-普通名詞-一般,0,0
軽い,カルイ,形容詞-一般,形容詞,連体形-一般
全部,ゼンブ,名詞-普通名詞-副詞可能,0,0
階,カイ,接尾辞-名詞的-助数詞,0,0
始まる,ハジマル,動詞-一般,五段-ラ行-一般,未然形-一般
語,ゴ,名詞-普通名詞-一般,0,0
半,ハン,名詞-普通名詞-一般,0,0
勉強,ベンキョウ,名詞-普通名詞-サ変可能,0,0
旅行,リョコウ,名詞-普通名詞-サ変可能,0,0
料理,リョウリ,名詞-普通名詞-サ変可能,0,0
女の子,オンナノコ,名詞-普通名詞-一般,0,0
昨日,キノウ,名詞-普通名詞-副詞可能,0,0
台,ダイ,名詞-普通名詞-一般,0,0
窓,マド,名詞-普通名詞-一般,0,0
張る／貼る,ハル,動詞-一般,五段-ラ行-一般,未然形-一般
猫,ネコ,名詞-普通名詞-一般,0,0
痛い,イタイ,形容詞-一般,形容詞,語幹-一般
右,ミギ,名詞-普通名詞-一般,0,0
花,ハナ,名詞-普通名詞-一般,0,0
ドア,ドア,名詞-普通名詞-一般,0,0
返す,カエス,動詞-一般,五段-サ行,連用形-一般
歯,ハ,名詞-普通名詞-一般,0,0
新聞,シンブン,名詞-普通名詞-一般,0,0
ゆっくり,ユックリ,副詞,0,0
叔父,オジ,名詞-普通名詞-一般,0,0
重い,オモイ,形容詞-一般,形容詞,連用形-一般
川,カワ,名詞-普通名詞-一般,0,0
姉,アネ,名詞-普通名詞-一般,0,0
遅い,オソイ,形容詞-一般,形容詞,終止形-一般
後,ウシロ,名詞-普通名詞-一般,0,0
ずつ,ズツ,助詞-副助詞,0,0
空,ソラ,名詞-普通名詞-一般,0,0
映画,エイガ,名詞-普通名詞-一般,0,0
番号,バンゴウ,名詞-普通名詞-一般,0,0
紙,カミ,名詞-普通名詞-一般,0,0
渡る,ワタル,動詞-非自立可能,五段-ラ行-一般,連用形-促音便
古い,フルイ,形容詞-一般,形容詞,連体形-一般
広い,ヒロイ,形容詞-一般,形容詞,連用形-一般
薬,クスリ,名詞-普通名詞-一般,0,0
服,フク,名詞-普通名詞-一般,0,0
止まる,トマル,動詞-一般,五段-ラ行-一般,未然形-一般
となり,トナリ,名詞-普通名詞-一般,0,0
両親,リョウシン,名詞-普通名詞-一般,0,0
夏,ナツ,名詞-普通名詞-副詞可能,0,0
英語,エイゴ,名詞-普通名詞-一般,0,0
個,コ,接尾辞-名詞的-助数詞,0,0
飛ぶ,トブ,動詞-一般,五段-バ行,連体形-一般
たばこ,タバコ,名詞-普通名詞-一般,0,0
渡す,ワタス,動詞-一般,五段-サ行,終止形-一般
大人,オトナ,名詞-普通名詞-一般,0,0
病気,ビョウキ,名詞-普通名詞-サ変可能,0,0
歌,ウタ,名詞-普通名詞-一般,0,0
元気,ゲンキ,名詞-普通名詞-形状詞可能,0,0
今年,コトシ,名詞-普通名詞-副詞可能,0,0
赤い,アカイ,形容詞-一般,形容詞,連体形-一般
半分,ハンブン,名詞-普通名詞-副詞可能,0,0
有名,ユウメイ,形状詞-一般,0,0
出かける,デカケル,動詞-一般,下一段-カ行,終止形-一般
婆,バア,名詞-普通名詞-一般,0,0
向こう,ムコウ,名詞-普通名詞-一般,0,0
洗う,アラウ,動詞-一般,五段-ワア行-一般,終止形-一般
雪,ユキ,名詞-普通名詞-一般,0,0
並ぶ,ナラブ,動詞-一般,五段-バ行,連用形-撥音便
消す,ケス,動詞-一般,五段-サ行,連用形-一般
短い,ミジカイ,形容詞-一般,形容詞,連体形-一般
大切,タイセツ,形状詞-一般,0,0
疲れる,ツカレル,動詞-一般,下一段-ラ行-一般,連用形-一般
降りる,オリル,動詞-一般,上一段-ラ行,終止形-一般
左,ヒダリ,名詞-普通名詞-一般,0,0
ちょうど,チョウド,副詞,0,0
バス,バス,名詞-普通名詞-一般,0,0
学生,ガクセイ,名詞-普通名詞-一般,0,0
時々,トキドキ,名詞-普通名詞-副詞可能,0,0
黒い,クロイ,形容詞-一般,形容詞,連体形-一般
いる,イル,動詞-一般,五段-ラ行-一般,未然形-一般
ありがとう,アリガトウ,感動詞-一般,0,0
鼻,ハナ,名詞-普通名詞-一般,0,0
村,ムラ,名詞-普通名詞-一般,0,0
過ぎ,スギ,接尾辞-名詞的-副詞可能,0,0
明るい,アカルイ,形容詞-一般,形容詞,連用形-一般
薄い,ウスイ,形容詞-一般,形容詞,語幹-一般
嫌い,キライ,名詞-普通名詞-形状詞可能,0,0
箱,ハコ,名詞-普通名詞-一般,0,0
雨,アメ,名詞-普通名詞-一般,0,0
静か,シズカ,形状詞-一般,0,0
黒,クロ,名詞-普通名詞-一般,0,0
銀行,ギンコウ,名詞-普通名詞-一般,0,0
借りる,カリル,動詞-一般,上一段-ラ行,連用形-一般
家庭,カテイ,名詞-普通名詞-一般,0,0
手紙,テガミ,名詞-普通名詞-一般,0,0
弱い,ヨワイ,形容詞-一般,形容詞,連体形-一般
メートル,メートル,接尾辞-名詞的-助数詞,0,0
椅子,イス,名詞-普通名詞-一般,0,0
テーブル,テーブル,名詞-普通名詞-一般,0,0
そちら,ソチラ,代名詞,0,0
背,セ,名詞-普通名詞-一般,0,0
暗い,クライ,形容詞-一般,形容詞,語幹-一般
じゃ,ジャ,助動詞,助動詞-ジャ,終止形-一般
魚,サカナ,名詞-普通名詞-一般,0,0
爺,ジイ,名詞-普通名詞-一般,0,0
電車,デンシャ,名詞-普通名詞-一般,0,0
医者,イシャ,名詞-普通名詞-一般,0,0
おば,オバ,名詞-普通名詞-一般,0,0
遠い,トオイ,形容詞-一般,形容詞,連用形-一般
