スル,する
コウチョウ,校長
デントウ,電灯
ノリカエル,乗り換える
セイサン,生産
イガク,医学
レジ,レジ
オヤ,おや
タイイン,退院
チットモ,ちっとも
ホンヤク,翻訳
カナイ,家内
テニス,テニス
ニガイ,苦い
カジ,火事
テブクロ,手袋
スウガク,数学
ヒキダシ,抽出
ハイケン,拝見
スイドウ,水道
ダンボウ,暖房
スイエイ,水泳
ノリモノ,乗り物
トッキュウ,特急
ブドウ,ブドウ
ウリバ,売り場
キョウソウ,競争
ウツス,写す
サンギョウ,産業
コウガイ,郊外
サンダル,サンダル
ワク,沸く
アフリカ,アフリカ
キュウコウ,急行
オクジョウ,屋上
スリ,すり
コウギョウ,工業
コウギ,講義
コトリ,小鳥
オシイレ,押し入れ
ゲシュク,下宿
ハナミ,花見
キシャ,汽車
チリ,地理
ヒルヤスミ,昼休み
サンドイッチ,サンドイッチ
ボウエキ,貿易
レイボウ,冷房
オクリモノ,贈り物
メシアガル,召し上がる
ジテン,辞典
モメン,木綿
ステレオ,ステレオ
ワカス,沸かす
ジュウドウ,柔道
ジャム,ジャム
ガクブ,学部
ブンポウ,文法
デンポウ,電報
ユシュツ,輸出
トコヤ,床屋
ワスレモノ,忘れ物
ネボウ,寝坊
コウドウ,講堂
ヨシュウ,予習
フクシュウ,復習
テンラン,展覧
ニッポン,日本
タイスル,対する
ニンゲン,人間
オク,おく
シレル,知れる
エル,得る
トモ,とも
スベテ,すべて
サラニ,さらに
カノウ,可能
アイテ,相手
タダ,ただ
カンズル,感ずる
ホウホウ,方法
マッタク,全く
ゲンザイ,現在
ソンザイ,存在
ツマリ,つまり
ジョウホウ,情報
トウキョウ,トウキョウ
ケッカ,結果
チュウゴク,中国
スデニ,すでに
アルイハ,あるいは
ブブン,部分
シゼン,自然
ジョウタイ,状態
シュギ,主義
アタエル,与える
オオク,多く
ジッサイ,実際
チガイ,違い
イッパン,一般
シメス,示す
シタガウ,従う
モトメル,求める
カンスル,関する
トウジ,当時
ナイヨウ,内容
カナリ,かなり
チイキ,地域
カツドウ,活動
イシキ,意識
テイド,程度
リカイ,理解
ジョウキョウ,状況
オレ,おれ
モットモ,最も
アタル,当たる
ジュウヨウ,重要
チュウシン,中心
ソレゾレ,それぞれ
シカモ,しかも
イッポウ,一方
シヨウ,使用
モクテキ,目的
ミタイ,みたい
ヒョウカ,評価
オヨビ,及び
コジン,個人
ジケン,事件
キホン,基本
ミトメル,認める
ジジツ,事実
ショウワ,昭和
ノベル,述べる
ゼンタイ,全体
ヘンカ,変化
トウゼン,当然
セイシン,精神
ドウジ,同時
カカワル,かかわる
エイキョウ,影響
ロウドウ,労働
カンキョウ,環境
サマザマ,さまざま
セイキ,世紀
フクム,含む
セイド,制度
コウカ,効果
イゼン,以前
ワガ,わが
チホウ,地方
チョウサ,調査
ジキ,時期
アラワレル,現れる
セイフ,政府
カクニン,確認
セキニン,責任
キギョウ,企業
アタリ,あたり
ジギョウ,事業
ゲンジツ,現実
ソシキ,組織
カンリ,管理
タイショウ,対象
アキラカ,明らか
ホケン,保険
ナオ,なお
コクミン,国民
ジョウケン,条件
アワセル,合わせる
ヒョウゲン,表現
ハンダン,判断
イッタイ,一体
キヅク,気づく
トチ,土地
ネガウ,願う
ゼッタイ,絶対
ムケル,向ける
トシ,都市
スナワチ,すなわち
ミズカラ,自ら
カギリ,限り
マモル,守る
ノコス,残す
カチ,価値
カタル,語る
ハナレル,離れる
コッカ,国家
ナス,なす
チョクセツ,直接
シンズル,信ずる
タイオウ,対応
コウイ,行為
ケッキョク,結局
コトナル,異なる
フランス,フランス
メイジ,明治
イチブ,一部
タダシ,ただし
ドウヨウ,同様
ウシナウ,失う
カンゼン,完全
オマエ,お前
イタル,至る
ジンセイ,人生
フアン,不安
ノウリョク,能力
ホウコク,報告
モジ,文字
ケッテイ,決定
ナシ,なし
クリカエス,繰り返す
タガイ,互い
サンカ,参加
エガク,描く
キカン,期間
オオサカ,大阪
モチイル,用いる
ヨウス,様子
ドイツ,ドイツ
ユルス,許す
クワエル,加える
カギル,限る
イカニ,いかに
ムシロ,むしろ
タチバ,立場
ダイヒョウ,代表
コウゾウ,構造
ショウズル,生ずる
カンガエ,考え
システム,システム
イチ,位置
ユウジン,友人
ショウヒン,商品
ツウズル,通ずる
トオス,通す
グタイ,具体
ジドウ,自動
キタイ,期待
イイン,委員
ヤガテ,やがて
ジンブツ,人物
ハッセイ,発生
オソラク,おそらく
セイカク,性格
チュウオウ,中央
チシキ,知識
エド,江戸
シダイ,次第
シンタイ,身体
ウゴキ,動き
コロス,殺す
