スル,する
クリストバル,クリストバル
ハシラマ,柱間
オウシャ,応射
サカモギ,逆茂木
キンバ,金馬
ザキョウ,座興
カグラデン,神楽殿
ヤリサキ,槍先
コゴエシヌ,凍え死ぬ
トロカス,とろかす
ハイヨル,はい寄る
ヌイハク,縫箔
アバレモノ,暴れ者
モンエイ,門衛
アクエリアス,アクエリアス
オモダチ,面立ち
マチブレ,町触
ベッケイ,別掲
レキジツ,暦日
ビフン,微粉
セイアン,成案
ツキアワセ,突き合わせ
コオラス,凍らす
ロッカン,肋間
オウネツ,黄熱
キョタン,去痰
ヨミワケル,読み分ける
テイアツ,低圧
カジボウ,かじぼう
ガンソウ,含嗽
キンテン,均霑
ゼンジンダイ,全人代
カギッコ,カギっ子
ネリモノ,練り物
オカリナ,オカリナ
ミスティック,ミスティック
アバヨ,あばよ
ムネアテ,胸当て
ツツキマワス,つつきまわす
キタキツネ,キタキツネ
ナガレアルク,流れ歩く
サメザメ,さめざめ
キヌケ,気抜け
ゴンノカミ,権守
ノチゾイ,後添い
ゴヘン,御辺
ネカタ,根方
ホソウデ,細腕
タバサム,たばさむ
ミジログ,身じろぐ
ハキダメ,はきだめ
ハシリスギル,走り過ぎる
ハシリヅカイ,走り使い
ムシズ,虫酸
ヤライ,夜来
ケンダマ,けん玉
シチョウソンゼイ,市町村税
オウサツ,応札
カカズラウ,かかずらう
ザアザア,ざあざあ
バクバク,漠漠
ロクスッポ,ろくすっぽ
サルワカ,猿若
ソラニ,そらに
オサゲガミ,お下げ髪
サンシタ,三下
モロハダ,もろはだ
ヤキキレル,焼き切れる
セキラ,赤裸
ドングリマナコ,どんぐり眼
オトコダテ,男達
フミマヨウ,踏み迷う
ナイブン,内聞
ハンパク,半白
カンプン,感奮
キシュン,季春
シッピ,櫛比
シュウオン,集音
スズシ,珠洲市
オオミヤ,大宮
テンピン,てんぴん
ノゾカス,のぞかす
ボンシュ,凡手
シワム,皺む
ウマゴヤシ,馬肥
タイメシ,たいめし
コウモリガサ,こうもり傘
メガロポリス,メガロポリス
シブガミ,渋紙
コメブクロ,米袋
シキメン,色面
シタヌリ,下塗り
モリキリ,盛り切り
ピペット,ピペット
シャルドネ,シャルドネ
ケイシュク,慶祝
アトヤマ,あと山
ハヤカゴ,早駕篭
ミッシリ,みっしり
ジッサク,実作
ヌグイ,ぬぐい
トクタイ,特待
バクエイ,幕営
リキミカエル,力みかえる
ヒョウイツ,ひょういつ
ビハインド,ビハインド
ファイティング,ファイティング
シャキン,謝金
カイエ,カイエ
シュブ,主部
キンカン,金環
ソゴ,祖語
ザンケツ,残欠
ケツリョウ,結了
オツゴウ,乙号
レンゴク,煉獄
ベンジン,ベンジン
アオキ,青木
トッポ,トッポ
ヤキアガリ,焼き上がり
モンパ,門派
カナグシ,金串
ジュウラン,縦覧
ギオウ,祇王
オンゾウ,音像
ナンナントウ,南南東
リンソウ,林相
ギョジ,御璽
ユデダコ,ゆでダコ
ウガイグスリ,うがい薬
コンサク,今作
セッソン,折損
ハリボテ,張りぼて
アスナロ,あすなろ
スミカエ,住み替え
アカシオ,赤潮
ポンビキ,ポン引き
ワッチ,ワッチ
ギュウナベ,牛鍋
キズグスリ,傷薬
ウチコ,内子
ツケトドケ,付け届け
クツテン,靴店
サイスン,採寸
アテヌノ,当て布
ガイジュウ,害獣
レンダン,連弾
ヘンム,片務
チュウオン,中温
ルイダイ,累代
ヒメマス,ヒメマス
ビデオディスク,ビデオディスク
アフラトキシン,アフラトキシン
ウスユキ,薄雪
ボヘミアン,ボヘミアン
タチオヨギ,立ち泳ぎ
ビゾウ,微増
アンフェタミン,アンフェタミン
アユミヨリ,歩み寄り
ヨウシュツ,ようしゅつ
ヤイノヤイノ,やいのやいの
アカフダ,赤札
ツイタイ,椎体
メタセコイア,メタセコイア
ケンダク,懸濁
トウリャク,党略
サイミョウ,最明
ダイナン,大難
ハイガ,拝賀
カリバシ,仮橋
ウンマ,ウンマ
ショウアン,省案
ジュウシツ,重質
コンテント,コンテント
ホウセン,砲戦
ツッカイ,突っかい
ゴッタ,ごった
エキウラ,駅裏
ホシクズ,星くず
バンガサ,番傘
ホクソウ,北走
リンダイ,輪台
セイウチ,セイウチ
ゼンニ,ぜんに
ヨウギン,洋銀
トドロカス,とどろかす
コマラス,困らす
オンナギライ,女嫌い
ネッパツ,熱発
セオヨギ,背泳ぎ
フクロトジ,袋とじ
フクヘキ,腹壁
スイノミ,吸飲
オグラ,小椋
ヤキキル,焼き切る
カタオシ,型押し
チョウソ,彫塑
ザツロク,雑録
ショウトク,小徳
ヒイク,肥育
ヒョウチュウ,標柱
ヤミゴメ,ヤミ米
ウタイコム,歌い込む
ギョクタイ,玉体
セイダン,政談
ハイメツ,廃滅
タッチダウン,タッチダウン
カクセツ,各節
トリドク,取得
ブルセラ,ブルセラ
ハヤリスタリ,はやりすたり
キュウメン,球面
リャクシ,略史
ガクリ,学理
クワリ,区割り
アマツカミ,天つ神
アライソ,荒磯
アニリン,アニリン
ボッキャク,没却
トビバコ,跳び箱
カタゾメ,型染
キリバリ,切り張り
ツルシ,都留市
ヌレガミ,濡髪
ブンウン,文運
ジョウヒ,冗費
アブリダシ,あぶり出し
デカダンス,デカダンス
マリアッチ,マリアッチ
オサツ,お札
シフ,師傅
モチバナ,もち花
レイウ,冷雨
サビドメ,さび止め
クセゲ,癖毛
ヨウコ,妖狐
チント,ちんと
ジュヒョウ,樹氷
アルパカ,アルパカ
セキモリ,関守
ナイゴウ,内剛
ウマミチ,馬道
ツケダス,付け出す
リュウソク,流速
リハバ,利幅
クレンジング,クレンジング
ソヨフク,そよ吹く
チドン,ちどん
キキナス,聞きなす
ジョケン,女権
センテツ,銑鉄
コママワシ,こま回し
テンテツ,てんてつ
チノイケ,血の池
メタテ,目立
エンゲツ,円月
ヌイハリ,ぬい針
スイワ,水和
ヒロイック,ヒロイック
アオヤ,青谷
クチマエ,口前
ペチャペチャ,ぺちゃぺちゃ
イビ,萎靡
アラクレル,荒くれる
オキガケ,起きがけ
ヤキタテル,焼き立てる
ウデズク,腕ずく
ラッスル,拉する
スポン,すぽん
コウヒン,工品
ハリイタ,張り板
トリノコ,鳥の子
コロガリ,ころがり
クギン,苦吟
イミアケ,忌み明け
ヒョウチョウ,表徴
ボウコン,亡魂
トチノキ,栃木
ムズト,むずと
イナキ,稲城
ヒゼメ,火攻め
セメカケル,攻めかける
ミガマエ,身構え
スンテツ,寸鉄
キリジニ,切死に
フナバタ,ふなばた
ダイウン,大雲
ミチヅクリ,道造
ツラアテ,つら当て
モレキク,漏れ聞く
オキビ,おき火
サケイ,左傾
コウチョ,好著
ヘイサイ,併載
テラモウデ,寺詣
ショウウ,少雨
カットバス,かっ飛ばす
ゴイン,五音
ナフタリン,ナフタリン
ジツジュ,実需
カコイモノ,囲い者
クンプウ,薫風
サングン,参軍
イリヒ,入り日
ハンタ,繁多
オイスギ,生杉
ワビズマイ,わび住まい
シキリナオシ,仕切り直し
ゴホン,ご本
ハクオウ,白鴎
ライシン,来診
ヨウゲキ,要撃
リニチ,離日
ミスギ,みすぎ
トリビア,トリビア
イメチェン,イメチェン
コカブ,子株
ケンピツ,健筆
シュドク,酒毒
メイリュウ,名流
コイジ,越地
ガベイ,画餅
クシゲ,櫛毛
ジュンユウ,巡遊
ブンショク,文飾
クアハウス,クアハウス
ハンナラ,ハンナラ
バンポウ,万邦
チハツ,遅発
ジョウラン,上欄
リキン,利金
ユウサン,有産
センコ,千古
ジギタリス,ジギタリス
コケラオトシ,こけら落とし
コセツ,古拙
スイロウ,衰老
ツイク,対句
マエウシロ,まえうしろ
タンバン,単板
ワビスケ,侘助
サンキョウ,三峡
シンウチ,真打ち
トッパン,トッパン
コスモポリタニズム,コスモポリタニズム
マスラオ,ますらお
カンコツ,換骨
キュウブン,旧聞
マクワ,真桑
リソン,離村
ゴス,呉須
カキヌク,書き抜く
テクトニクス,テクトニクス
エンチョク,鉛直
カイガク,開学
ムギカリ,麦刈り
ダンカン,ダンカン
ワゲイ,話芸
ウチカケル,打ち掛ける
トクボウ,徳望
マンドウ,満堂
ナビキ,なびき
オウド,王土
ニュウシュッキン,入出金
グンケン,軍権
ツヨマリ,強まり
サントラ,サントラ
ヒモロギ,神籬
チキョウ,地峡
アタマカザリ,頭飾
アディオス,アディオス
クントク,君徳
ミツクロウ,見つくろう
キョウビ,きょうび
シオリド,枝折り戸
シナガキ,品書き
ルンバ,ルンバ
アケガラス,明烏
オクデン,奥殿
カケモノ,掛け物
セガキ,施餓鬼
ジョウロク,丈六
セキフ,石斧
チョウト,長途
トンコウ,遁甲
フコ,封戸
パリジャン,パリジャン
ノンプロ,ノンプロ
イリウミ,入り海
ボウシツ,防湿
オダ,織田
アネムコ,姉婿
マイクロフィルム,マイクロフィルム
アナクロ,アナクロ
ウォンバット,ウォンバット
ガタピシ,がたぴし
ノメノメ,のめのめ
ヒョイヒョイ,ひょいひょい
ヒノケ,火の気
コツガラ,骨柄
テゴマ,手駒
カンダチメ,かんだちめ
モリカゲ,森陰
フキチギル,吹きちぎる
フキツノル,吹きつのる
タケブエ,竹笛
ツキノケル,突きのける
カタウタ,片歌
モンシ,悶死
ラゾウ,裸像
カルカン,かるかん
タニク,多肉
ヘイサツ,併殺
ヘム,ヘム
ロウガイ,労咳
アマエビ,アマエビ
ツキオクレ,月後
ショウヨン,小四
ノウスイサン,農水産
ユエキ,輸液
マクヤ,幕屋
フクホン,副本
サンエイ,山影
シロウリ,シロウリ
ミドリシジミ,ミドリシジミ
トクニン,特認
サキッチョ,先っちょ
ヌケカワル,抜け替わる
ニコゴリ,煮凝
ゲンズ,原図
カケス,カケス
ツイコツ,椎骨
フリュウ,ふりゅう
ハカマギ,袴着
カキトバス,書き飛ばす
チュウソン,中尊
ハナダ,花田
ヨミチガエル,読み違える
テトラポッド,テトラポッド
ナゾカケ,なぞかけ
スガレル,すがれる
ベンモウ,べん毛
サヤサヤ,さやさや
ヒンク,貧苦
リスイ,利水
フニク,腐肉
ババロア,ババロア
リンドク,輪読
アンパイア,アンパイア
ボトリング,ボトリング
カンガエチガイ,考え違い
クロクマ,クロクマ
ムギコ,麦粉
ヤクダカ,役高
ヨワフクミ,弱含み
ベイフン,米粉
オシヒロメル,押し広める
ニンピ,認否
ショクベニ,食紅
スゴモリ,巣ごもり
ヒメジ,姫路
キュウレイ,急冷
キャロット,キャロット
ゴロット,ごろっと
ロックン,ロックン
アサダチ,朝立ち
フクワ,腹話
タダレ,ただれ
ポンカン,ポンカン
マキモドシ,巻き戻し
クウイキ,空域
アゲゼン,上げ膳
ハンギョク,半玉
チャチャチャ,チャチャチャ
シュウラン,収攬
ゼッショウ,絶唱
チリナベ,ちり鍋
ワム,ワム
シツデン,湿田
シボツ,死没
キワリ,木割
ゴウキョウ,剛強
リベット,リベット
クロロキン,クロロキン
ヒツジグサ,ヒツジグサ
スケルトン,スケルトン
フラクション,フラクション
オトコヤモメ,男やもめ
ムセビナク,むせび泣く
アマダレ,雨だれ
ギヘイ,義兵
ニガミバシル,苦み走る
ケッパン,血判
ギョウケイ,行啓
サシマネク,さし招く
シキフク,式服
カリチン,借り賃
テヤリ,てやり
クビッタマ,首っ玉
ショグン,諸軍
カイダス,かい出す
ソチコチ,そちこち
テンショウ,天象
ハイヘイ,敗兵
バンゴヤ,番小屋
フクゾウ,腹蔵
ボウボ,亡母
ムツゴト,睦言
ナガレヤ,流れ矢
ロウザン,老残
ワシバナ,ワシ鼻
ヨロメキ,よろめき
カケゴ,賭け碁
コテキ,個的
ダンサイ,断裁
ユラク,愉楽
トキオヨブ,説き及ぶ
ツチオト,槌音
アタマダシ,頭出し
ヨコカベ,横壁
カキクダス,書き下す
ノリニゲ,乗り逃げ
イキワカレ,生き別れ
エキウリ,駅売り
トシトク,歳徳
タモウ,たもう
ハコウ,波高
ヒコバエ,ひこばえ
シャッコウ,赤光
リク,離苦
イイジョウ,言い条
ゴッコアソビ,ごっこ遊び
ノウチュウ,嚢中
タイグ,大愚
チレイ,地霊
ダブルス,ダブルス
ラビリンス,ラビリンス
ベイシ,米紙
スラスト,スラスト
ミズゴコロ,水心
ボウイ,ボウイ
ソミツ,粗密
オサマリカエル,おさまりかえる
フジナミ,藤波
アンシ,暗紫
ブンエン,分煙
エレガンス,エレガンス
ビブリオ,ビブリオ
シルワン,汁椀
キリワケ,切り分け
ヒキワリ,引割
ウワバミ,うわばみ
ベチャベチャ,べちゃべちゃ
シタネ,下値
セミクジラ,セミクジラ
プエブロ,プエブロ
ジリ,ジリ
プランタン,プランタン
ウリオシミ,売り惜しみ
ベンド,ベンド
マトン,マトン
ウラサク,裏作
チョウザ,ちょうざ
ゴブレット,ゴブレット
シャガミ,しゃがみ
ササゲモノ,捧げ物
バクガ,麦芽
スカイダイビング,スカイダイビング
クミジュウ,組中
ユウラク,遊楽
アクソウ,悪僧
ヤンマ,山間
ラテックス,ラテックス
シイスル,弑する
タバイ,たばい
テラガワ,寺側
サクグ,索具
シオイレ,塩入
コウジュ,口授
セッパ,せっぱ
オンガ,温雅
サイリ,犀利
キョクリツ,曲率
タンバリン,タンバリン
イチワ,一和
エイアン,永安
ギョリン,魚鱗
ハカ,破瓜
コプト,コプト
イエガタ,家形
ネブト,根太
ザイフ,在府
シチナン,七男
カワジリ,川尻
ヘンデン,返電
キガタ,木型
ロウイ,老医
コクフン,穀粉
キタマクラ,北枕
ボクフ,牧夫
ヒンムク,ひんむく
フザケアウ,ふざけ合う
ペテンシ,ペテン師
イトシム,いとしむ
ヒザラ,火皿
カケワタス,架け渡す
ヒネクル,ひねくる
モノナレル,もの慣れる
ノガモ,野鴨
テキショク,適職
ヘイドク,併読
マンシャ,満車
サツイレ,札入れ
イグアナ,イグアナ
シオウ,しおう
スプラッシュ,スプラッシュ
カクシガネ,隠し金
ナツカゼ,夏風
ショッパナ,しょっぱな
ソチラガワ,そちら側
テツサビ,鉄錆
シャラクサイ,しゃらくさい
ヒネリマワス,捻り回す
ケンモツ,献物
マツカワ,松川
トウコク,当国
ムケン,無権
ファルス,ファルス
オイタテ,追い立て
フウサツ,封殺
ズリアゲル,ずり上げる
ポロリ,ポロリ
ムナダカ,胸高
ムケナオス,向け直す
セイモウ,性毛
ジムシ,地虫
モミダス,もみ出す
カエバ,替え刃
コザル,子猿
シャホ,社保
カネトウ,兼頭
ザンペイ,残兵
ココロヨワイ,心弱い
ダンウ,弾雨
エヘン,えへん
スンゲン,寸言
ツイナ,追儺
ジョウサン,蒸散
エキゾチシズム,エキゾチシズム
インシデント,インシデント
パチプロ,パチプロ
チョボク,貯木
キョスウ,虚数
エンボス,エンボス
ウルウドシ,うるう年
スイレイ,水冷
シミヌキ,しみ抜き
ビハク,美白
マッスル,まっする
ヤキコム,焼き込む
クニミ,国見
オリダス,織り出す
オオハライ,大祓
ヒオウギ,桧扇
クシケズル,くしけずる
コシャク,こしゃく
ネコジャラシ,ネコジャラシ
カンユ,肝油
プログレス,プログレス
カリウケ,借り受け
サンアイ,三愛
メサ,メサ
アクエン,悪縁
キュウカブ,旧株
シュクヤク,縮約
オクガワ,奥川
カキステル,書き捨てる
オイセン,追い銭
セイコツ,整骨
アワセワザ,合わせ技
ピロリ,ピロリ
モミノリ,もみのり
タヒ,多肥
セサミ,セサミ
ペプシン,ペプシン
ジュビロ,ジュビロ
チャンピオンシップ,チャンピオンシップ
キュウイ,球威
ケイフン,鶏糞
シロウ,脂漏
ピクット,ぴくっと
カリオヤ,仮親
ジュウガン,銃眼
ジクサク,軸索
シャケツ,しゃけつ
タンヨウ,単葉
デリバティブ,デリバティブ
ゾウケツ,増結
カエシヌイ,返し縫い
イチョク,違勅
マエク,前句
チョクトウ,直登
ホンゾク,本属
ニシメ,西銘
ササガキ,ささがき
ゲンコ,げんこ
チョウコツ,腸骨
ギョクト,玉兎
クウリ,空理
ロウケツ,ロウケツ
ポリオウイルス,ポリオウイルス
トブツ,とぶつ
オイバライ,追い払い
ノウショ,農書
ギグン,義軍
ケチガン,結願
コンク,困苦
ジヨ,自余
シュザン,珠算
シュウロン,宗論
ショリュウ,庶流
カキオトス,書き落とす
ショウハク,松柏
マヒガシ,真東
スギザイ,杉材
チャガマ,茶釜
イツブス,鋳つぶす
フウジコム,封じ込む
フダラク,補陀落
ヨウレキ,陽暦
ミナミヅメ,南詰
オモガワリ,面変わり
ユカタジ,浴衣地
オウソ,応訴
シンバ,新葉
クンイ,勲位
シュウボウ,衆望
トゼイ,都税
クヤク,公役
フカザラ,深皿
プリオン,プリオン
ビタセン,ビタ銭
マエガシ,前貸し
カンデラ,カンデラ
メチオニン,メチオニン
ユベントス,ユベントス
シタガリ,下刈り
ヒキュウ,飛球
ツイシ,追試
ヨミアゲ,読み上げ
オイショウ,追い証
コヤナギ,小柳
チャツボ,茶壷
スキミング,スキミング
ツット,つっと
ヤサ,ヤサ
イエツキ,家つき
ナキアカス,泣き明かす
オモイオヨブ,思い及ぶ
オモイイレル,思い入れる
シャベラス,しゃべらす
ホメアゲル,ほめあげる
ロウコク,漏刻
カギバナ,かぎ鼻
ムドク,無毒
アシダカ,足高
ヘキクウ,碧空
アフレコ,アフレコ
モノラル,モノラル
バンタム,バンタム
モボ,モボ
ギレツ,義烈
ボウアツ,暴圧
トロイメライ,トロイメライ
ノタリノタリ,のたりのたり
ヤクタイ,益体
オシカブサル,おしかぶさる
マブ,間分
キンタイ,近体
ミカネル,見かねる
クチオモイ,口重い
フリツノル,降りつのる
コウジヤ,麹谷
コダナ,蚕棚
ケツマズク,けつまずく
コニクラシイ,小憎らしい
フカマ,深間
ナンナント,なんなんと
ナマナカ,なまなか
ソクエン,測鉛
キナガス,きながす
トギラセル,途切らせる
ツチグモ,土蜘蛛
ドナリタテル,どなり立てる
ハイコム,はいこむ
ミッチョク,密勅
オモワ,おもわ
ユウモヤ,夕靄
ワッパ,わっぱ
レツジョウ,劣情
オンノジ,御の字
ケイチツ,経膣
トマツ,塗抹
トモヅリ,友釣り
フキカエ,吹き替え
シモキ,下期
アセチレン,アセチレン
コンボイ,コンボイ
カミヤスリ,紙やすり
コジカ,小鹿
ヒロポン,ヒロポン
テンヤク,点訳
ドクワ,読話
ナチュラリスト,ナチュラリスト
ビデン,美田
トクサ,木賊
アツニュウ,圧入
チュウチョウ,中朝
ギンヤンマ,ギンヤンマ
ヌリエ,ぬり絵
タンオン,単音
ギョシ,御史
ギョウネン,行年
ダダッコ,だだっ子
サイキョ,裁許
ヤクサイ,厄災
アツボッタイ,厚ぼったい
ヤマゴ,山川
ランラン,ランラン
ニセガネ,ニセ金
タピオカ,タピオカ
ナムル,ナムル
タムシ,たむし
パドック,パドック
ガイキョク,外局
ホエイ,保衛
エンオウ,燕王
コザン,故山
クロコマ,黒駒
シジュウカラ,シジュウカラ
ミズブロ,みずぶろ
ズイジュウ,随従
イノコ,猪子
バッケン,バッケン
ワタアメ,綿あめ
アクシャ,幄舎
クミテ,組み手
ドクシ,毒死
マクアキ,幕開き
クメイ,区名
アミキ,編み機
ベンガラ,ベンガラ
ハンザ,はんざ
センザン,穿山
シオジ,塩路
トユウ,都邑
カゲンソク,加減速
コシャ,古社
キツネビ,狐火
フナカタ,船方
ウタグチ,歌口
ヌリモノ,塗り物
ヌカブクロ,ぬか袋
クロマル,黒丸
シュウルシ,朱漆
クモイ,雲井
トキワズ,常磐津
ゲンシャ,現車
ミズノエトラ,壬寅
パチリ,ぱちり
トコナツ,常夏
ガクオン,楽音
ヨリアツマリ,寄り集まり
コマツ,小松
マッソン,末孫
リョチュウ,旅中
ミシミシ,ミシミシ
イスル,医する
ヒキノク,引退く
ネガイアゲル,願い上げる
タマノオ,玉の緒
ケンゲキ,剣戟
ケンショ,賢所
ゴウセン,合繊
ヤマザル,山猿
オモイマヨウ,思い迷う
ジャクヘイ,弱兵
ヤドモト,宿本
ワライコケル,笑いこける
オリヒメ,織姫
イロコ,いろこ
スンコク,寸刻
セキルイ,石塁
カッサバク,かっさばく
アダシ,空し
タンジン,炭塵
クギカクシ,釘隠し
トビイロ,トビ色
ナイシツ,内室
ヒザカリ,日盛り
ニュウデン,入電
ネコカブリ,猫かぶり
イタマ,板間
カワオビ,革帯
ビョウサ,錨鎖
マイクルウ,舞い狂う
ホウザン,宝山
ムコク,夢告
リキシャ,力車
カギダス,かぎ出す
ロウロウ,老老
カズトリ,数取り
ハラコ,原子
カテドラル,カテドラル
キュロット,キュロット
ルフラン,ルフラン
インコク,陰刻
ケイヨ,恵与
コシミノ,腰みの
シミャク,支脈
ココロオボエ,心覚え
ミズサカズキ,水杯
ツヅレオリ,つづれ織
ニッキョウ,日僑
モノビ,物日
ユウカゼ,夕風
タチガレル,立ち枯れる
ロエイ,露営
ワダン,わだん
モジリ,もじり
シキモウ,色盲
オソネ,遅寝
ホンダワラ,ホンダワラ
カミオクリ,神送り
サムシング,サムシング
ロウデン,漏電
カワ,佳話
キダイ,基台
ギョリョウ,漁猟
スイクン,垂訓
チトク,知徳
ミズアカ,水あか
エゾウ,えぞう
ブラリ,ぶらり
アンザ,安座
イチモツ,逸物
ゲキフン,激憤
コトホギ,ことほぎ
サシツカワス,差し遣わす
オヤザト,親里
ムカシガタリ,昔語り
ヤリモチ,槍持
マゴムスコ,孫息子
ナガワズライ,長患い
クギヌキ,釘貫
ヒラザラ,平皿
ヨタロウ,与太郎
リョガイ,慮外
レイソク,令息
ワラグツ,藁沓
リンレツ,りんれつ
ヨウシュウ,要集
ワキジ,わきじ
ホシカゲ,星影
ホウハク,方伯
ランポウ,蘭方
メスティソ,メスティソ
ギョガン,魚眼
アゲアブラ,揚げ油
カケナオス,掛け直す
トモギレ,共布
シュウジョウ,舟状
カワヅリ,川釣り
ヌリナオシ,塗り直し
ウジデラ,氏寺
クロカゲ,黒鹿毛
シミデル,しみ出る
ペンテコステ,ペンテコステ
イツボ,乙墓
ヒョウオン,表音
ツナギアワス,つなぎあわす
コウダカ,甲高
ジャイン,じゃいん
チョウタク,彫琢
カイブン,回文
ポリゴン,ポリゴン
マウンティング,マウンティング
ケツジョウ,欠場
ダンセン,断線
ヒナイ,皮内
キョウスイ,胸水
ハイチュウ,排中
アデノウイルス,アデノウイルス
ザッソク,雑則
ベンコウ,弁公
チョロギ,チョロギ
ハコボレ,はこぼれ
フウドウ,風洞
ツブアン,粒あん
オキイシ,置き石
テンツユ,てんつゆ
サナダムシ,サナダムシ
ゲイドウ,芸道
キヅクリ,木造り
メイホウ,命法
キバチ,木鉢
アシッド,アシッド
シンミセ,新店
トキイロ,とき色
ネンジュ,念珠
ヤエザクラ,八重桜
ウマウマ,うまうま
ヤマブキイロ,山吹色
アネムスメ,姉娘
ニエユ,煮え湯
シュクスイ,宿酔
シキヨク,色欲
スイヨ,酔余
タエイル,絶え入る
ソリミ,反り身
マイオサメル,舞い納める
モノノグ,物の具
デクノボウ,でくの坊
ユウヅキ,夕月
レイメイ,令名
トボケ,とぼけ
マビ,間日
セキゾク,石鏃
クチバ,口羽
ウツシエ,写し絵
アゲイタ,上板
セキイリ,席入り
ドクケシ,毒消し
ハクゼン,白髯
コトモノ,異者
クイヤブル,食い破る
ハツモン,発問
ガムラン,ガムラン
イタズラガキ,いたずら書き
ソウカ,窓下
オモイシズム,思い沈む
カンパリ,カンパリ
カゲマ,かげま
インクライン,インクライン
カユミドメ,かゆみ止め
ネンネコ,ねんねこ
アンマク,暗幕
スイソン,水村
サクザツ,錯雑
カサヤ,笠谷
トリステル,取り捨てる
カタハラ,形原
ボンゴレ,ボンゴレ
トオノリ,遠乗り
ソラニン,ソラニン
オンバン,音盤
コウジキン,麹菌
タニガワ,谷川
ケッパツ,結髪
ココロヨセ,心寄せ
フクワライ,福笑い
サキオリ,裂織
ダンリン,談林
フタツ,布達
タタキダイ,たたき台
キレジ,切れ字
ウスグモ,薄雲
フワク,不惑
ネツカン,熱感
ニュウイキ,入域
ロウチュウ,ろうちゅう
コプラ,コプラ
ザツミ,雑味
アバズレ,あばずれ
アイヒ,愛妃
エイシン,詠進
エンキョウ,円鏡
カガミイワ,鏡岩
クマドリ,くま取り
ケンボク,堅木
ゲンプ,厳父
クワイ,クワイ
マゴノテ,孫の手
チュウスイ,中水
マビサシ,まびさし
コビヘツラウ,こびへつらう
チビリ,ちびり
ニシイチ,西市
サンジュ,傘寿
インニン,隠忍
バギョウ,ば行
メイスウ,名数
アイイク,愛育
コバラ,木原
ボクセン,ぼくせん
アツギリ,厚切り
ヨコグミ,横組み
クイケ,食い気
フクガク,復学
ノヤキ,野焼き
リョウアン,良案
モモジリ,桃尻
シロタエ,白妙
フルツワモノ,ふるつわもの
リトミック,リトミック
クイツキ,食付き
アカホン,赤本
ムシカエシ,蒸し返し
フンバリ,踏ん張り
ジツカタ,実方
フリント,フリント
センズ,線図
ガリウム,ガリウム
ヒドラ,ヒドラ
フクガ,腹臥
サカシマ,さかしま
ワカムラサキ,若紫
ベタボレ,べたぼれ
アトヤク,後厄
フジュ,不受
シングルス,シングルス
スキャット,スキャット
ファナティック,ファナティック
ジクバリ,字配り
ヘンジュツ,編述
ヨウオン,ようおん
マハトマ,マハトマ
キスゲ,キスゲ
フウガイ,風害
ピンナップ,ピンナップ
カヒン,佳品
テオドリ,手踊り
モウシャ,盲者
ユウシュン,優駿
クズマイ,くず米
ウラガミ,浦上
アキサク,秋作
アドミッション,アドミッション
ヒギョウ,罷業
トレパン,トレパン
ウズシオ,渦潮
オオハジ,大恥
シノビナク,忍びなく
ケント,県都
ジュンリョウ,純良
テンブ,転部
デモクラティック,デモクラティック
テコマイ,手古舞
ステノ,ステノ
トトカルチョ,トトカルチョ
ゾウジ,象耳
ホシマツリ,星祭り
カセギテ,稼ぎ手
シャヒ,社費
スキット,スキット
フリツケル,振り付ける
デタント,デタント
テンカス,てんかす
テンコク,てんこく
インショ,印書
オヨボシアウ,及ぼし合う
イボク,遺墨
インソウ,印相
キンシャ,金砂
サイフク,祭服
ソウガナ,草がな
タクホン,拓本
ハンヤ,半夜
ヒッスル,必する
モノワカレ,物別れ
リョウボク,良木
デノミ,デノミ
ホウボウ,竹麦魚
キンチョク,謹直
マンピツ,漫筆
ホンピョウ,本表
ナゲウリ,投げ売り
スカッド,スカッド
アズマジ,東路
ツクネ,つくね
チンコロ,ちんころ
ゼンフツ,全仏
デンオン,デンオン
ゲキタク,撃柝
ソトユ,外湯
ケンザン,剣山
ナイサイ,内妻
キント,金斗
ソンゼイ,村税
グガン,具眼
ソウソツ,倉卒
テキロク,摘録
ヘイビ,兵備
キタグミ,北組
トランザクション,トランザクション
ヘブライズム,ヘブライズム
ダイヘン,代返
ゲンノショウコ,ゲンノショウコ
トリナシ,取りなし
アテンド,アテンド
ウツボツ,鬱勃
シンソ,親疎
ボナパルティズム,ボナパルティズム
ヒズ,秘図
ナマハゲ,なまはげ
アオガイ,青貝
マチガエ,間違え
ケカ,悔過
ダックス,ダックス
エスノ,エスノ
キュウハ,急派
タセイ,たせい
テッケツ,鉄血
エクレア,エクレア
フィア,フィア
コウレイチ,高冷地
セキハイ,惜敗
ビバ,ビバ
チマメ,血まめ
ヤエバ,八重歯
ワキゲ,わきげ
ホッポリダス,ほっぽりだす
エンゼン,宛然
オソン,汚損
アバキタテル,あばきたてる
ヨコアルキ,横歩
チニチ,知日
ミニコンポ,ミニコンポ
スナギモ,砂肝
バイバイシュン,売買春
リクセイ,陸生
ステルス,ステルス
パラノイア,パラノイア
モエデル,萌え出る
ミリタリズム,ミリタリズム
スンヅマリ,寸詰まり
エボナイト,エボナイト
ドウモウ,どうもう
モモチ,百道
コクゲキ,国劇
ファシリティ,ファシリティ
セイミ,清美
テナグサミ,手なぐさみ
ナンゲン,南限
テンパル,テンパる
ユマク,油膜
クロヨン,クロヨン
ミョウボウ,明法
